Date,Demographic_category,Administered_Dose1,Administered_Dose1_pct_known,Administered_Dose1_pct_US,Series_Complete_Yes,Administered_Dose1_pct_agegroup,Series_Complete_Pop_pct_agegroup,Series_Complete_Pop_Pct_known,Series_Complete_Pop_Pct_US,Booster_Doses_Vax_pct_agegroup,Booster_Doses_Pop_Pct_known,Booster_Doses_Vax_Pct_US,Booster_Doses_Pop_Pct_known_Last14Days,Booster_Doses_Yes,Booster_Doses_Yes_Last14Days
01/30/2022,Ages_<5yrs,24630,0,0,3912,0.1,0,0,0,0,0,0,0,0,0
01/30/2022,Ages_12-17_yrs,16723950,6.7,6.7,14136902,66.1,55.9,6.7,6.7,0,0,0,0,0,0
01/30/2022,Race_eth_Hispanic,37652407,20.3,15.1,31925756,59.1,50.1,19.5,15.1,65.2,8.7,10,15.3,2428951,85122
01/30/2022,Ages_<12yrs,8728718,3.5,3.5,6162056,18,12.7,2.9,2.9,0,0,0,0,0,0
01/30/2022,Ages_25-39_yrs,52963066,21.2,21.2,44191158,77.4,64.6,20.9,20.9,0,0,0,0,0,0
01/30/2022,Race_eth_NHNHOPI,584485,0.3,0.2,523286,62.9,56.4,0.3,0.2,66.3,0.2,0.2,0.3,45718,1605
01/30/2022,Ages_12-15_yrs,10860492,4.3,4.3,9133805,64.2,54,4.3,4.3,0,0,0,0,0,0
01/30/2022,Age_unknown,25284,0,0,5871,,,0,0,0,0,0,0,0,0
01/30/2022,Ages_16-17_yrs,5863458,2.3,2.3,5003097,69.9,59.6,2.4,2.4,0,0,0,0,0,0
01/30/2022,Ages_18-24_yrs,22909255,9.2,9.2,18558773,74.9,60.7,8.8,8.8,0,0,0,0,0,0
01/30/2022,Sex_Male,118370991,47.8,47.4,99950437,72.4,61.1,47.6,47.2,64.2,44.9,45.2,43,13983668,268601
01/30/2022,Race_eth_known,185590075,100,74.3,164096724,,,100,77.5,74.5,100,100,100,27768727,556112
01/30/2022,Race_eth_NHAsian,12386056,6.7,5,11172890,65.2,58.8,6.8,5.3,86,4.7,4.1,5.5,1305147,30537
01/30/2022,Race_eth_NHBlack,18880860,10.2,7.6,16272084,45.8,39.5,9.9,7.7,68.1,7.6,8.3,11.7,2100902,65201
01/30/2022,US,249892470,,100,211695131,75.3,63.8,,100,64.4,,,,31172779,625098
01/30/2022,Race_eth_NHAIAN,1684625,0.9,0.7,1382276,69.2,56.8,0.8,0.7,63.5,0.5,0.6,0.7,146336,3898
01/30/2022,Ages_75+_yrs,22564583,9,9,19482345,95,85.1,9.2,9.2,66.7,41.7,40.3,38,12992538,237364
01/30/2022,Sex_known,247656896,100,99.1,210175087,,,100,99.3,64.6,100,100,100,31129556,624125
01/30/2022,Ages_5-11_yrs,8698925,3.5,3.5,6156798,30.3,21.4,2.9,2.9,0,0,0,0,0,0
01/30/2022,Ages_50-64_yrs,58161703,23.3,23.3,50588006,91.4,79.5,23.9,23.9,0,0,0,0,0,0
01/30/2022,Ages_65-74_yrs,33296056,13.3,13.3,28917648,95,90.7,13.7,13.7,62.9,58.3,59.7,62,18180241,387734
01/30/2022,Race_eth_unknown,64287733,34.6,25.7,47586643,,,29,22.5,30.6,12.3,29.9,12.4,3404052,68986
01/30/2022,Ages_40-49_yrs,34519855,13.8,13.8,29652372,84.6,72.7,14,14,0,0,0,0,0,0
01/30/2022,Age_known,249867186,100,100,211689260,,,100,100,64.4,100,100,100,31172779,625098
01/30/2022,Sex_Female,129285905,52.2,51.7,110224650,76.7,65.4,52.4,52.1,65,55.1,54.8,57,17145888,355524
